JobID,Skills,Experience,Internships,Certificates,Projects,Education
1,"C, Embedded Systems, IoT",3+ years,Internship in IoT Lab,TensorFlow Cert,Food Delivery App,"B.Tech Electrical, Bachelor of Engineering in Electrical Engineering, Electrical Engineering"
2,"UI/UX, Figma, Adobe XD",0,Internship in Cloud Services,"AWS Certified, Python Certified",Social Media App,"M.Tech Data Science, Master of Technology in Data Science, Data Science Engineering"
3,"Data Science, Pandas, NLP",3+ years,Internship at Startup,TensorFlow Cert,"Firewall Project, Pen Testing","B.Tech CSE, Bachelor of Engineering in Computer Science, Computer Science Engineering"
4,"Data Science, Pandas, NLP",1+ years,Internship in Design,Data Science Cert,Food Delivery App,"B.Tech Electrical, Bachelor of Engineering in Electrical Engineering, Electrical Engineering"
5,"Python, Django, Machine Learning",3+ years,Internship in AI Research,CEH Cert,"Firewall Project, Pen Testing","B.Tech Civil, Bachelor of Engineering in Civil Engineering, Civil Engineering"
6,"UI/UX, Figma, Adobe XD",1+ years,Internship in Web Company,Embedded Cert,E-learning Platform,"M.Tech Data Science, Master of Technology in Data Science, Data Science Engineering"
7,"React, Node.js, MongoDB",3+ years,Internship at Startup,"AWS Certified, Python Certified",Smart Home System,"M.Tech AI, Master of Technology in Artificial Intelligence, Artificial Intelligence Engineering"
8,"Cybersecurity, Networking, Linux",0,Internship at Startup,Embedded Cert,Smart Home System,"B.Tech Electrical, Bachelor of Engineering in Electrical Engineering, Electrical Engineering"
9,"React, Node.js, MongoDB",2+ years,Internship in Mobile Dev,AWS Architect Cert,Food Delivery App,"B.Tech Electrical, Bachelor of Engineering in Electrical Engineering, Electrical Engineering"
10,"Cybersecurity, Networking, Linux",1+ years,Internship in Mobile Dev,Full Stack Cert,"E-commerce Website, Banking App","M.Tech AI, Master of Technology in Artificial Intelligence, Artificial Intelligence Engineering"
11,"React, Node.js, MongoDB",2+ years,Internship at Startup,Google Android Cert,"Firewall Project, Pen Testing","MBA, Master of Business Administration, Management Studies"
12,"C, Embedded Systems, IoT",2+ years,Internship in AI Research,CEH Cert,Smart Home System,"M.Tech AI, Master of Technology in Artificial Intelligence, Artificial Intelligence Engineering"
13,"Cybersecurity, Networking, Linux",Fresher,Internship in Cloud Services,Embedded Cert,"Firewall Project, Pen Testing","B.Tech CSE, Bachelor of Engineering in Computer Science, Computer Science Engineering"
14,"Java, Spring Boot, MySQL",Fresher,Internship in AI Research,Embedded Cert,Food Delivery App,"B.Des Design, Bachelor of Design, Design Engineering"
15,"React, Node.js, MongoDB",Fresher,Internship in IoT Lab,Oracle Java Cert,Social Media App,"B.Tech Civil, Bachelor of Engineering in Civil Engineering, Civil Engineering"
16,"React, Node.js, MongoDB",1+ years,Internship at Security Firm,Google Android Cert,CI/CD Pipeline,"B.E IT, Bachelor of Engineering in Information Technology, Information Technology Engineering"
17,"AI, Deep Learning, TensorFlow",Fresher,Internship in Web Company,Data Science Cert,"Chatbot, ATS Score System","B.Des Design, Bachelor of Design, Design Engineering"
18,"Cybersecurity, Networking, Linux",1+ years,Internship in Cloud Services,Embedded Cert,"Firewall Project, Pen Testing","MBA, Master of Business Administration, Management Studies"
19,"C, Embedded Systems, IoT",1+ years,Internship in Design,UI/UX Cert,Image Recognition System,"B.Tech CSE, Bachelor of Engineering in Computer Science, Computer Science Engineering"
20,"Python, Django, Machine Learning",3+ years,Internship in AI Research,Full Stack Cert,E-learning Platform,"B.Tech Electrical, Bachelor of Engineering in Electrical Engineering, Electrical Engineering"
21,"UI/UX, Figma, Adobe XD",Fresher,Internship at IT company,AWS Architect Cert,Smart Home System,"B.Tech Mechanical, Bachelor of Engineering in Mechanical Engineering, Mechanical Engineering"
22,"UI/UX, Figma, Adobe XD",2+ years,Internship at Startup,Full Stack Cert,"Firewall Project, Pen Testing","B.Tech ECE, Bachelor of Engineering in Electronics and Communication, Electronics and Communication Engineering"
23,"AI, Deep Learning, TensorFlow",Fresher,Internship at Security Firm,UI/UX Cert,CI/CD Pipeline,"B.Tech CSE, Bachelor of Engineering in Computer Science, Computer Science Engineering"
24,"Android, Kotlin, Firebase",3+ years,Internship in Cloud Services,CEH Cert,Image Recognition System,"B.E IT, Bachelor of Engineering in Information Technology, Information Technology Engineering"
25,"C, Embedded Systems, IoT",3+ years,Internship in Cloud Services,UI/UX Cert,Food Delivery App,"B.Tech Mechanical, Bachelor of Engineering in Mechanical Engineering, Mechanical Engineering"
26,"Android, Kotlin, Firebase",3+ years,Internship in Design,Oracle Java Cert,"E-commerce Website, Banking App","B.Des Design, Bachelor of Design, Design Engineering"
